name,url,roster_fetched_at
DevBcn 2026,https://www.devbcn.com,2026-06-28
Devoxx Poland 2026,https://devoxx.pl/,2026-06-28
DevTalks 2026,https://devtalks.ro,2026-06-28
J-Spring 2026,https://jspring.nl,2026-06-28
jPrime 2026,https://jprime.io,2026-06-28
Voxxed Days Luxembourg 2026,https://luxembourg.voxxeddays.com/,2026-06-28
Code Remix Summit 2026,https://coderemix.ai/,2026-06-28
Devoxx UK 2026,https://www.devoxx.co.uk,2026-06-28
GeeCON 2026,https://2026.geecon.org/,2026-06-28
JAlba 2026,https://jalba.scot/,excluded:no-roster
JAX 2026,https://jax.de/mainz/,2026-06-28
JCON Slovenia 2026,https://slovenia.jcon.one/,2026-06-28
JJUG CCC 2026 Spring,https://ccc2026spring.java-users.jp/,2026-06-28
JNation 2026,https://jnation.pt/,2026-06-28
KotlinConf 2026,https://kotlinconf.com/,2026-06-28
Devoxx France 2026,http://devoxx.fr/,2026-06-28
Devoxx Greece 2026,https://devoxx.gr/,2026-06-28
Java Day Istanbul 2026,https://javaday.istanbul,2026-06-28
JCON EUROPE 2026,https://2026.europe.jcon.one/,2026-06-28
Spring I/O 2026,https://2026.springio.net/,2026-06-28
Voxxed Days Amsterdam 2026,https://amsterdam.voxxeddays.ch/,2026-06-28
Voxxed Days Bucharest 2026,https://romania.voxxeddays.com/voxxed-days-bucharest-2026/,2026-06-28
Devnexus 2026,https://devnexus.com/,2026-06-28
Digital Crafts Day 2026,https://dc-nordoberpfalz.de/DigitalCraftsDay/2026,2026-06-28
JavaLand 2026,https://www.javaland.eu/,2026-06-28
JavaOne 2026,https://www.oracle.com/javaone/,excluded:no-roster
Voxxed Days Zurich 2026,https://zurich.voxxeddays.ch/,2026-06-28
ConFoo 2026,https://confoo.ca/en/2026,2026-06-28
FOSDEM 2026,https://fosdem.org/2026/,2026-06-28
Jfokus 2026,https://www.jfokus.se/,2026-06-28
Voxxed Days CERN 2026,https://cern.voxxeddays.ch/,2026-06-28
Voxxed Days Ticino 2026,https://ticino.voxxeddays.ch/,2026-06-28
jChampions 2026,https://jchampionsconf.com/index.html,2026-06-28
JakartaOne Livestream 2025,https://jakartaone.org/2025/,2026-06-28
Ya!vaConf 2025,https://yavaconf.com/en/,2026-06-28
ChurConf 2025,https://churconf.com,2026-06-28
Devoxx Morocco 2025,https://devoxx.ma,2026-06-28
J-Fall 2025,https://jfall.nl,2026-06-28
JJUG CCC 2025 Fall,https://ccc2025fall.java-users.jp/,2026-06-28
Voxxed Days Thessaloniki 2025,https://voxxeddays.com/thessaloniki/,2026-06-28
W-JAX 2025,https://jax.de/muenchen,2026-06-28
XtremeJ 2025,https://xtremej.dev/2025/,2026-06-28
Øredev 2025,https://oredev.org/,2026-06-28
BaselOne 2025,https://baselone.org/,2026-06-28
BED-Con 2025,https://bed-con.org/,2026-06-28
dev2next 2025,https://www.dev2next.com/,2026-06-28
DEVJVM 2025,https://devjvm.com/,2026-06-28
Devoxx Belgium 2025,https://devoxx.be,2026-06-28
I Code Java Africa 2025,https://j-sa.co/,2026-06-28
JavaCro 2025,https://2025.javacro.hr/eng/,2026-06-28
JCON USA @ IBM TechXchange 2025,https://usa.jcon.one/,2026-06-28
Confitura 2025,https://2025.confitura.pl,2026-06-28
Java Forum Nord 2025,https://javaforumnord.de/2025/,2026-06-28
JavaZone 2025,https://2025.javazone.no/en,2026-07-03
JCConf Taiwan 2025,https://jcconf.tw/2025/,2026-07-03
JUG Saxony Day 2025,https://jugsaxony.org/day/,2026-07-03
KCDC 2025,https://www.kcdc.info/,2026-07-03
Java Forum Stuttgart 2025,https://www.java-forum-stuttgart.de/,2026-07-03
JConf Dominicana 2025,https://jconfdominicana.org/,2026-07-03
betterCode() Spring 2025,https://spring.bettercode.eu/index.php,2026-07-03
JConf Mexico 2025,https://jconf.mx/,excluded:no-roster
JJUG CCC 2025 Spring,https://ccc2025spring.java-users.jp/,2026-07-03
JOnsen 2025,https://www.jonsen.jp/,excluded:no-roster
JSail 2025,https://jsail.ijug.eu/,excluded:no-roster
OpenSouthCode 2025,https://www.opensouthcode.org/conferences/opensouthcode2025,2026-07-03
JAX Hybrid 2025,https://jax.de/mainz,2026-07-03
JCON OpenBlend Slovenia 2025,https://slovenia.jcon.one,2026-07-03
New England Software Symposium 2025,https://nofluffjuststuff.com/boston,2026-07-03
Spring.io 2025,https://2025.springio.net,2026-07-03
Voxxed Days Ioannina 2025,https://ioannina.voxxeddays.com/,2026-07-03
"Community Day for Java - 2025, Ahmedabad",https://www.gujaratjug.org/community-day-for-java-2025,2026-07-03
Gateway Software Symposium 2025,https://nofluffjuststuff.com/stlouis,2026-07-03
GIDS (Great Indian Developer Summit) 2025,https://developersummit.com,2026-07-03
JDConf 2025,https://jdconf.com/,2026-07-03
JPoint 2025,https://jpoint.ru/,2026-07-03
