login,name,is_fork,stars,pushed_at,head_sha,last_scanned_at
victorrentea,performance-profiling,0,24,2026-05-26T18:43:26Z,e63aba2e3f35c54626f7d6ebfcf3cdfd8183b109,2026-06-28
AdamBien,airails,0,28,2026-06-27T07:24:38Z,feb369eed7926500b93bb6733b6678f82f029646,2026-06-28
glaforge,gemini-interactions-api-sdk,0,23,2026-06-27T08:49:37Z,38aedffb692fb8003a36e0306cc613186abb8707,2026-06-28
glaforge,java-stdio-mcp-server,0,2,2026-02-23T22:40:14Z,fd22da1a64e23a9bf412ebbfc0c4d332367feece,2026-06-28
jbaruch,koog-tessl,0,0,2026-05-31T21:22:22Z,42d5bd7fd316f890d0724716b1756971bb91509c,2026-06-28
jbaruch,kotlin-tutor,0,0,2026-05-26T15:13:46Z,a2d094e81f429d54e61106d8e20a2cf61ad99774,2026-06-28
jbaruch,tamboui,0,0,2026-05-26T01:07:27Z,7f11e2f9a76bb0c9ef4ad17c0e00a99e321e0953,2026-06-28
parttimenerd,jstall,0,46,2026-06-18T10:08:33Z,dd607ce9294885070ae7cbe70a6ca2848a3aa028,2026-06-28
righettod,code-assistant-skills-security-utils,0,5,2026-06-20T18:05:35Z,370a1c6f39a88f10f4d1171995cb88f7988cba09,2026-06-28
nomisRev,koog-workshop,0,7,2026-06-03T12:17:15Z,6564fe0109b57cd31341c1bb86e4e78b4987736f,2026-06-28
nomisRev,ktor-quickstart,0,6,2026-05-21T05:32:10Z,bef83261538627fd004c397fbf827040cc36e901,2026-06-28
philippart-s,skill-for-blog-post,0,0,2026-03-06T14:08:35Z,3fddd8666aa705d95203b02151cd5f8b3195d4ca,2026-06-28
pdudits,doorman,0,1,2026-05-21T07:53:47Z,0d521908ae6a4b09efd007a8516a80d51674ad08,2026-06-27
Tingsters,Showtail,0,0,2026-06-26T06:24:54Z,77ec9e0bc086b31db27f6afe11f6d0cc86ba97c3,2026-06-27
anishi1222,multi-agent-code-reviewer,0,1,2026-06-27T11:17:16Z,690e1563b06b697f8652784726af3a2f2ce99a64,2026-07-03
uta8a,curatedz,0,0,2026-02-09T23:15:03Z,71beaf370d9689fd439681a268f04ac0084b15d2,2026-06-27
uta8a,playground,0,1,2026-03-14T08:30:17Z,8b9a0e5db14e220a6f6a00ebc0e8f2be9efd95f6,2026-06-27
antonarhipov,agentskills,0,13,2026-06-09T15:54:13Z,9b7f17a8d9de7feabd29c4233c5b9cb9c4e663ac,2026-06-28
antonarhipov,eshop-with-skills,0,5,2026-01-30T14:28:53Z,d4bc01a2858a9e74901611e1c875e294c8baa27b,2026-06-28
antonarhipov,kotlinconf-sdd,0,12,2026-05-24T09:59:22Z,9c8f504736ef26b71aaf8ae04a9301ba027fed84,2026-06-28
antonarhipov,sdd-workshop,0,2,2026-05-09T23:07:36Z,4a08344272032683056c7c506fd479977c61b0dc,2026-06-28
sshaaf,migIQ,0,4,2026-06-12T13:04:17Z,240e35f7b7d8ba2cbf4d0e54ae4b8444d90f9c52,2026-06-28
sshaaf,mta-skill,0,1,2026-05-20T08:17:41Z,927df51d02dff84695ecc510f7d35b293d95007d,2026-06-28
sshaaf,tutorial-skill,0,4,2026-05-10T07:46:36Z,558a8ce48fc79abb6794fcfc0cc15b9e6b29176f,2026-06-27
Mr3zee,Release-Wizard,0,0,2026-04-01T21:32:19Z,d3c8ebece955b1dc324a47a063409ad228a33f07,2026-06-28
dyor,Factory-13,0,0,2026-04-18T01:28:17Z,1e04a4701ba8d9a88afa13101cb06d3f2da177d9,2026-06-27
dyor,TheFactory-9,0,0,2026-03-15T16:06:56Z,b1b6dcf7f1544e159307bb349a8c146794a41d47,2026-06-27
dyor,kmp-starter-project,0,0,2026-02-06T22:46:39Z,ad24e43659dea1036298445c23e97968e151e337,2026-06-27
dyor,skills,0,5,2026-06-01T14:19:27Z,c86d1fd85f6457a37796e93277367dd29b4afc07,2026-06-28
ams0,cloudlab,0,7,2026-06-26T12:54:43Z,7d37e2eafe25fd17c3c09d5d0ddbda91e2cd4fb2,2026-06-27
vanessamj99,LocalFirst,0,0,2026-05-22T09:33:41Z,2ac001fd0b1b20e56ded59fc04dde4657a1f9940,2026-06-27
webmaxru,enonic-agent-skills,0,0,2026-06-08T14:49:33Z,029e044a8c0da5af1806f185e133566b5e02a41b,2026-06-27
mbellade,ai-dev-toolkit,0,0,2026-06-25T12:56:44Z,69db321210a790147e1d26935ddcdddbc72182c6,2026-06-28
brunoborges,fx2048,0,291,2026-06-14T06:40:46Z,1304e4d5f7cd559bfe50ca65ea13356d0f9b03ff,2026-06-28
brunoborges,gh-appmod,0,0,2026-04-08T03:57:11Z,798e8de03e0c2c577ff0467a87b2ce2d37110079,2026-06-28
myfear,the-main-thread,0,13,2026-06-16T03:30:02Z,75e9ca28fbb1d1a414ffb96f78acb74a5cc10f9f,2026-06-27
Grinseteddy,SamplesDddMeetAi,0,1,2026-06-24T13:52:08Z,5baf422224e9cb72b722c9ce5a39d764fe3eb156,2026-06-27
ThomasVitale,agents-skills-oci-artifacts-spec,0,10,2026-04-02T14:28:00Z,98376c2a7e8d668dee9bf943d04d7a0214fd7097,2026-07-03
cdavisafc,slack-utils,0,0,2026-01-12T02:39:13Z,cd110d6b9d3390883b45cf339399f123263af1fc,2026-06-27
dcaron,spring-cloud-gateway-tanzu-ui,0,0,2026-04-09T17:48:38Z,00a1316fe90ef1a376b79a66a36f0b8ca1b5479f,2026-06-27
mipo256,skills,0,1,2026-05-13T10:15:15Z,4c174c1fd12c985969baf2d19e22edd20429292e,2026-06-27
mp911de,sg-ready-pi,0,3,2026-06-24T06:05:26Z,2e063b964b106c324663e49cb9f52046a970733e,2026-06-27
DanielFloor,DevDiary,0,2,2026-04-03T06:52:00Z,9e2f4e6cc2fcec52d6923ab687ebee02220a6132,2026-06-27
WBurggraaf,VoxxedDays,0,0,2026-04-02T08:06:52Z,e46eda82e502c6797ad5e85403bbaaf29e590c02,2026-06-27
anders-swanson,oracle-database-code-samples,0,38,2026-06-25T22:21:37Z,edd41d32b634f7a82aac9f206d03eb031fa3d79a,2026-06-28
ascheman,jqa-eclipse-osgi-plugin,0,0,2026-06-25T16:04:17Z,430df155494a6f19cb9f6da3d94fb1aff80d37fa,2026-06-27
gtrefs,tdd-pbt-plugin,0,0,2026-06-10T14:20:25Z,ac2035e1df8b1319bb777332b63fb1d73039e7b0,2026-06-27
PacoVK,tapir,0,237,2026-06-23T11:47:24Z,08346c8c1203b72225fa9f7732296bb733635fff,2026-06-27
blues-man,chatbot-skills,0,0,2026-04-23T10:36:24Z,c32084a67df351fcb7b17f16a828670f442d7199,2026-06-28
blues-man,customer-java-skeleton,0,0,2026-05-13T14:29:57Z,7fa02b0081974ac2e43d1afdb8fb3beea63314ef,2026-06-27
dasniko,keycloak-extensions-demo,0,426,2026-06-23T11:00:47Z,2294c5d9f9bf7f68b41baa87cb8b9f95d3e16582,2026-06-27
dasniko,mcp-auth-demo,0,0,2026-06-26T12:53:46Z,91e1f95d2c938d00b8f6e87255c18d9d4129e44f,2026-06-27
debe,adk-libpetri,0,1,2026-06-08T22:10:31Z,a7c7c3eed42e34fe08406794dc03f5ad8545b15f,2026-06-27
debe,libfindchars,0,9,2026-05-23T19:42:47Z,1e6c6b082447829e0b8f14b81c7c58c3320cde29,2026-06-27
debe,libpetri,0,18,2026-06-26T09:59:00Z,e1f3ea05457442d46ac9dc916f3825972e86a013,2026-06-27
feststelltaste,agentic,0,0,2026-03-02T11:28:55Z,6498afee8ef9954d7fa804947716e8c639e5df52,2026-06-28
feststelltaste,trivia_agentic_refactoring_demo,0,0,2026-06-18T09:10:08Z,1627b635b173cc6b1aed91d7e294adbc1241ba98,2026-06-27
hendrikebbers,hiero-sdk-v3-prototyping,0,0,2026-06-25T03:22:50Z,ac50811251aff9ed238f1597870b7e89b2bad096,2026-06-27
jabrena,cursor-rules-examples,0,0,2026-06-19T05:05:51Z,5ecbd9f5f9210aecda6899d593cd7da4e83f5581,2026-06-28
jabrena,cursor-rules-java,0,410,2026-06-27T11:27:42Z,182ae99a854bf87d516c158e74794e3ae6de22ba,2026-06-28
johnsonr,ecstasy-skill,0,0,2026-03-27T18:56:15Z,70257273e216172eebab8fef373da11021f886fc,2026-06-27
johnsonr,pack-github,0,0,2026-06-24T05:11:35Z,57c2994ae2bf2ec9e9a1cc31b5aa229a1ac978e5,2026-06-27
johnsonr,pack-movie,0,0,2026-06-12T12:50:40Z,9e8eb4f24d73f3804aa629780a1f1d55234973b0,2026-06-27
johnsonr,pack-research,0,0,2026-05-07T09:22:38Z,7bd3df3f14af20091a864afd6ceed584077b2c65,2026-06-27
