name,norm_name,affiliation
Alex Soto,alex soto,Red Hat
Abdel Sghiouar,abdel sghiouar,Google Cloud
Adrián Pastén,adrian pasten,Senior Software Engineer
Alexander Chatzizacharias,alexander chatzizacharias,jDriven
Ana-Maria Mihalceanu,ana maria mihalceanu,Oracle
Andrei Tazetdinov,andrei tazetdinov,Senior Software Engineer & Tech Evangelist
Andrew Madson,andrew madson,"Head of Developer Relations at Fivetran | Author of ""Apache Polaris - The Definitive Guide"". Authoring ""AI-Ready Data"" for Wiley and ""Data Transformation"" for O'Reilly"
Andy Igdal,andy igdal,"PhD Student, Energy Policy, UT Austin"
Anemari Fiser,anemari fiser,O'Reilly Author and Tech Lead trainer
Annelore Egger,annelore egger,OpenValue Switzerland
Archie Sharma,archie sharma,"Chief Operating Officer, GTM, Zencoder"
Arnau Gómez Farell,arnau gomez farell,AI Engineer at Tiptap
Asier Zapata,asier zapata,"Edpuzzle, Senior Staff Software Engineer"
Ben Evans,ben evans,"Observability Lead, Red Hat Runtimes"
Brian Vermeer,brian vermeer,Snyk
Bruno Souza,bruno souza,SouJava
Carles Nuñez,carles nunez,Product Engineer @ framer.com
Carmen Laura Delgado Pérez,carmen laura delgado perez,Open Source Community Manager at Eclipse Foundation and Step4ward Founder and Mentor
Cedric Clyburn,cedric clyburn,Red Hat
Dani Coll,dani coll,Senior Developer Advocate at Dynatrace
David Pilato,david pilato,Elastic
David vonThenen,david vonthenen,NetApp
Dennis Schulz,dennis schulz,
Diego Rodríguez Varela,diego rodriguez varela,Software Development Engineer
François Martin,francois martin,Senior Full Stack Software Engineer at Karakun
Gerard París,gerard paris,Back-end Engineer at Preply
Gytenis Mikulėnas,gytenis mikulenas,"Mambu, Sr. Engineering Manager"
Hugh Evans,hugh evans,Senior Developer Advocate @ Aiven and Community Organiser
Jordi Serra Gonzalez,jordi serra gonzalez,Frontend Architect at CaixaBank Tech
José Enrique Calderón Sanz,jose enrique calderon sanz,Lead Software Engineer at JP Morgan Chase.
Josef Rosel,josef rosel,Senior Cloud Engineer at Dynatrace
Josian Chevalier,josian chevalier,Shodo
