norm_name,conference
anton arhipov,Spring I/O 2026
anton arhipov,Devnexus 2026
alex soto,Spring I/O 2026
alex soto,Devnexus 2026
dan vega,Devnexus 2026
gerrit grunwald,Devnexus 2026
kenneth kousen,Devnexus 2026
gerrit grunwald,jPrime 2026
milen dyankov,jPrime 2026
victor rentea,jPrime 2026
roberto cortez,jPrime 2026
ioannis kolaxis,jPrime 2026
jonathan vila lopez,jPrime 2026
venkat subramaniam,jPrime 2026
marit van dijk,jPrime 2026
stefan angelov,jPrime 2026
ivan yonkov,jPrime 2026
cay horstmann,jPrime 2026
piotr przyby,jPrime 2026
johannes bechberger,jPrime 2026
hinse ter schuur,jPrime 2026
christian heitzmann,jPrime 2026
willem jan glerum,jPrime 2026
marcin chrost,jPrime 2026
vadym kazulkin,jPrime 2026
emanuel trandafir,jPrime 2026
arnaud jean,jPrime 2026
panche chavkovski,jPrime 2026
kristiyan stoyanov,jPrime 2026
lyubomir bozhinov,jPrime 2026
viktoriya kutsarova,jPrime 2026
kevin dubois,jPrime 2026
jordan jovkov,jPrime 2026
francois martin,jPrime 2026
thanos stratikopoulos,jPrime 2026
sergi almar,jPrime 2026
nayden gochev,jPrime 2026
josh long,Spring I/O 2026
juergen hoeller,Spring I/O 2026
dave syer,Spring I/O 2026
oliver drotbohm,Spring I/O 2026
sebastien deleuze,Spring I/O 2026
thomas vitale,Spring I/O 2026
siva prasad reddy katamreddy,Spring I/O 2026
mark pollack,Spring I/O 2026
christian tzolov,Spring I/O 2026
daniel garnier moiroux,Spring I/O 2026
rod johnson,Spring I/O 2026
tim te beek,Spring I/O 2026
marcin grzejszczak,Spring I/O 2026
jonatan ivanov,Spring I/O 2026
rossen stoyanchev,Spring I/O 2026
thorben janssen,Spring I/O 2026
mauricio salatino,Spring I/O 2026
james ward,Spring I/O 2026
alina yurenko,Spring I/O 2026
mark paluch,Spring I/O 2026
stephen chin,Devnexus 2026
viktor gamov,Devnexus 2026
baruch sadogursky,Devnexus 2026
markus eisele,Devnexus 2026
ivar grimstad,Devnexus 2026
jennifer reif,Devnexus 2026
simon ritter,Devnexus 2026
daniel oh,Devnexus 2026
nathaniel schutta,Devnexus 2026
rustam mehmandarov,Devnexus 2026
raphael de lio,Devnexus 2026
pasha finkelshteyn,Devnexus 2026
brian vermeer,Devnexus 2026
cedric clyburn,Devnexus 2026
ted m young,Devnexus 2026
billy korando,Devnexus 2026
chandra guntur,Devnexus 2026
douglas hawkins,Devnexus 2026
olena kutsenko,Devnexus 2026
david vlijmincx,Devnexus 2026
adam bien,GeeCON 2025
adam warski,GeeCON 2025
charles nutter,GeeCON 2025
heinz kabutz,GeeCON 2025
jaroslav tulach,GeeCON 2025
maurice naftalin,GeeCON 2025
nicolas frankel,GeeCON 2025
otavio santana,GeeCON 2025
mohamed taman,GeeCON 2025
dmytro vyazelenko,GeeCON 2025
bazlur rahman,GeeCON 2025
andrzej grzesik,GeeCON 2025
natan silnitsky,GeeCON 2025
tomer gabel,GeeCON 2025
andrus adamchik,GeeCON 2025
mete atamel,GeeCON 2025
ron veen,GeeCON 2025
nick palmer,GeeCON 2025
artur skowronski,GeeCON 2025
